route,irn_id
"HEUNG YUEN WAI HIGHWAY",263001
"HEUNG YUEN WAI HIGHWAY",263002
"HEUNG YUEN WAI HIGHWAY",263003
"HEUNG YUEN WAI HIGHWAY",263005
"HEUNG YUEN WAI HIGHWAY",263006
"HEUNG YUEN WAI HIGHWAY",263007
"HEUNG YUEN WAI HIGHWAY",263008
"HEUNG YUEN WAI HIGHWAY",263009
"HEUNG YUEN WAI HIGHWAY",263010
"HEUNG YUEN WAI HIGHWAY",263012
"HEUNG YUEN WAI HIGHWAY",263019
"HEUNG YUEN WAI HIGHWAY",263020
"HEUNG YUEN WAI HIGHWAY",263021
"HEUNG YUEN WAI HIGHWAY",263022
"HEUNG YUEN WAI HIGHWAY",263023
"HEUNG YUEN WAI HIGHWAY",263024
"HEUNG YUEN WAI HIGHWAY",263025
"HEUNG YUEN WAI HIGHWAY",263026
"HEUNG YUEN WAI HIGHWAY",263029
"HEUNG YUEN WAI HIGHWAY",263030
"HEUNG YUEN WAI HIGHWAY",263158
"HEUNG YUEN WAI HIGHWAY",263159
"HEUNG YUEN WAI HIGHWAY",263160
"HEUNG YUEN WAI HIGHWAY",263161
"HEUNG YUEN WAI HIGHWAY",263170
"HEUNG YUEN WAI HIGHWAY",263179
"HEUNG YUEN WAI HIGHWAY",263180
"HEUNG YUEN WAI HIGHWAY",263181
"HEUNG YUEN WAI HIGHWAY",263182
"HEUNG YUEN WAI HIGHWAY",263191
"HEUNG YUEN WAI HIGHWAY",263192
"HEUNG YUEN WAI HIGHWAY",263242
"HEUNG YUEN WAI HIGHWAY",263243
"HEUNG YUEN WAI HIGHWAY",263263
"HEUNG YUEN WAI HIGHWAY",263264
"HEUNG YUEN WAI HIGHWAY",263265
"HEUNG YUEN WAI HIGHWAY",263266
"HEUNG YUEN WAI HIGHWAY",263267
"HEUNG YUEN WAI HIGHWAY",263268
"HEUNG YUEN WAI HIGHWAY",263269
"HEUNG YUEN WAI HIGHWAY",263270
"HEUNG YUEN WAI HIGHWAY",263271
"HEUNG YUEN WAI HIGHWAY",263272
"HEUNG YUEN WAI HIGHWAY",263273
"HEUNG YUEN WAI HIGHWAY",263274
"HEUNG YUEN WAI HIGHWAY",263282
"HEUNG YUEN WAI HIGHWAY",263283
"HEUNG YUEN WAI HIGHWAY",264722
"HEUNG YUEN WAI HIGHWAY",264723
"HEUNG YUEN WAI HIGHWAY",264724
"HEUNG YUEN WAI HIGHWAY",264725
"HOI ON ROAD",96549
"HONG CHONG ROAD",104616
"HONG CHONG ROAD",105208
"HUNG HING ROAD FLYOVER",681
"HUNG HING ROAD FLYOVER",3921
"HUNG HING ROAD FLYOVER",4957
"HUNG HING ROAD FLYOVER",5282
"HUNG HING ROAD FLYOVER",5342
"HUNG HOM BYPASS",104594
"HUNG HOM BYPASS",104595
"HUNG HOM BYPASS",104601
